workunit,workunit_id,project,project_id,collect_start,collect_end,ql,spec,p_method,dem_gsd_meters,horiz_crs,vert_crs,geoid,lpc_pub_date,lpc_update,lpc_category,lpc_reason,sourcedem_pub_date,sourcedem_update,sourcedem_category,sourcedem_reason,onemeter_category,onemeter_reason,seamless_category,seamless_reason,lpc_link,sourcedem_link,metadata_link
WA_MTSTHELENS_2002,-1691,WA_MTSTHELENS_2002_Legacy_Data,-16910,2002/10/31,2002/11/02,Other,Other,linear-mode lidar,3,"26910",Unknown,Unknown,2013/01/25,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/WA_MTSTHELENS_2002,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/WA_MTSTHELENS_2002
WA_YAKIMA_2002_2003,-1701,WA_YAKIMA_2002_2003_Legacy_Data,-17010,2002/11/01,2003/04/01,Other,Other,linear-mode lidar,,"2927","6360",GEOID99,2013/01/18,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/WA_YAKIMA_2002_2003,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/WA_YAKIMA_2002-2003
WA_MTRAINIER_2002,-1690,WA_MTRAINIER_2002_Legacy_Data,-16900,2002/11/01,2002/12/01,Other,Other,linear-mode lidar,3,"2285","6360",Unknown,2013/04/23,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/WA_MTRAINIER_2002,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/WA_MTRAINIER_2002
CA_SCRIPPS_DEC_2002,-1166,CA_SCRIPPS_DEC_2002_Legacy_Data,-11660,2002/12/03,2002/12/04,Other,Other,linear-mode lidar,,"26911","5703",GEOID99,2012/05/10,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/CA_SCRIPPS_DEC_2002,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/CA_SCRIPPS-DEC_2002
NC_PHASE2_2003,-1473,NC_PHASE2_2003_Legacy_Data,-14730,2003/01/03,2003/03/23,Other,Other,linear-mode lidar,3,"2264","6360",Unknown,2013/01/24,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/NC_PHASE2_2003,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/NC_PHASE2_2003
CA_SANANDREAS_2003,-1156,CA_SANANDREAS_2003_Legacy_Data,-11560,2003/02/01,2003/02/01,Other,Other,linear-mode lidar,,"2226","6360",Unknown,2013/04/22,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/CA_SANANDREAS_2003,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/CA_SANANDREAS_2003
WA_LEWIS_2003,-1687,WA_LEWIS_2003_Legacy_Data,-16870,2003/02/11,2003/03/29,Other,Other,linear-mode lidar,,"2927","6360",GEOID99,2013/01/28,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/WA_LEWIS_2003,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/WA_LEWIS_2003
WA_PSLC_2003,-1697,WA_PSLC_2003_Legacy_Data,-16970,2003/02/11,2003/03/29,Other,Other,linear-mode lidar,,"2926","6360",GEOID99,2013/02/13,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/WA_PSLC_2003,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/WA_PSLC_2003
CA_SCRIPPS_MAR_2003,-1167,CA_SCRIPPS_MAR_2003_Legacy_Data,-11670,2003/03/28,2003/03/29,Other,Other,linear-mode lidar,,"26911","5703",GEOID99,2012/05/11,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/CA_SCRIPPS_MAR_2003,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/CA_SCRIPPS-MAR_2003
WA_SNOHOMISH_2003,-1699,WA_SNOHOMISH_2003_Legacy_Data,-16990,2003/04/02,2003/04/12,Other,Other,linear-mode lidar,,"2926","6360",GEOID99,2012/06/20,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/WA_SNOHOMISH_2003,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/WA_SNOHOMISH_2003
MD_STATEWIDE_2003,-1404,MD_STATEWIDE_2003_Legacy_Data,-14040,2003/06/01,2003/07/01,Other,Other,linear-mode lidar,3,"26985","5703",Unknown,2013/01/22,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/MD_STATEWIDE_2003,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/MD_STATEWIDE_2003
ID_SaintJoe_2003,14941,Clearwater_NF_USFS_LiDAR,2730,2003/07/23,2003/09/22,QL 3,Draft Version 13,linear-mode lidar,1,"26911","5703",GEOID03,2015/12/21,,Does not meet,Point density < 2 ppsm,2015/12/16,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/Clearwater_NF_USFS_LiDAR/ID_SaintJoe_2003,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/OPR/Projects/Clearwater_NF_USFS_LiDAR/ID_SaintJoe_2003,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/Clearwater_NF_USFS_LiDAR/ID_SaintJoe_2003
ID_MoscowMountain_2003,14939,Clearwater_NF_USFS_LiDAR,2730,2003/08/13,2003/08/14,QL 3,Draft Version 13,linear-mode lidar,1,"26911","5703",GEOID03,2015/12/21,,Does not meet,Point density < 2 ppsm,2015/12/14,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/Clearwater_NF_USFS_LiDAR/ID_MoscowMountain_2003,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/OPR/Projects/Clearwater_NF_USFS_LiDAR/ID_MoscowMountain_2003,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/Clearwater_NF_USFS_LiDAR/ID_MoscowMountain_2003
CA_SCRIPPS_OCT_2003,-1170,CA_SCRIPPS_OCT_2003_Legacy_Data,-11700,2003/10/24,2003/10/25,Other,Other,linear-mode lidar,,"26911","5703",GEOID99,2012/05/11,2023/12/11,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/CA_SCRIPPS_OCT_2003,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/CA_SCRIPPS-OCT_2003
NE_LINCOLN_2003,-1480,NE_LINCOLN_2003_Legacy_Data,-14800,2003/11/01,2003/12/01,Other,Other,linear-mode lidar,3,"26914","5703",Unknown,2013/01/22,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/NE_LINCOLN_2003,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/NE_LINCOLN_2003
ID_BOISE_2003,-1266,ID_BOISE_2003_Legacy_Data,-12660,2003/12/09,2003/12/09,Other,Other,linear-mode lidar,,"26911","5703",Unknown,2013/01/23,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/ID_BOISE_2003,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/ID_BOISE_2003
CO_CHEESMANLAKE_2004,-1176,CO_CHEESMANLAKE_2004_Legacy_Data,-11760,2004/01/01,2004/12/01,Other,Other,linear-mode lidar,,"26913","5703",Unknown,2012/06/11,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/CO_CHEESMANLAKE_2004,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/CO_CHEESMANLAKE_2004
FL_PASCO_2004,-1224,FL_PASCO_2004_Legacy_Data,-12240,2004/01/23,2004/05/15,Other,Other,linear-mode lidar,3,"2237",Unknown,Unknown,2012/06/19,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/FL_PASCO_2004,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/FL_PASCO_2004
WA_PIERCE_2004,-1693,WA_PIERCE_2004_Legacy_Data,-16930,2004/02/21,2004/03/08,Other,Other,linear-mode lidar,3,"2926","6360",GEOID99,2013/01/30,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/WA_PIERCE_2004,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/WA_PIERCE_2004
FL_FLAGLERCO_2004,-1192,FL_FLAGLERCO_2004_Legacy_Data,-11920,2004/02/28,2004/05/05,Other,Other,linear-mode lidar,3,"2881",Unknown,Unknown,2013/09/03,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/FL_FLAGLERCO_2004,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/FL_FLAGLERCO_2004
FL_SARASOTA_2004,-1230,FL_SARASOTA_2004_Legacy_Data,-12300,2004/02/28,2004/03/04,Other,Other,linear-mode lidar,3,"2237","6360",Unknown,2012/06/21,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/FL_SARASOTA_2004,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/FL_SARASOTA_2004
OR_PORTLAND_2004,-1552,OR_PORTLAND_2004_Legacy_Data,-15520,2004/03/07,2004/03/13,Other,Other,linear-mode lidar,,"2269","6360",GEOID99,2012/06/20,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/OR_PORTLAND_2004,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/OR_PORTLAND_2004
MD_STATEWIDE_2004,-1405,MD_STATEWIDE_2004_Legacy_Data,-14050,2004/04/01,2004/05/01,Other,Other,linear-mode lidar,3,"26985","5703",Unknown,2013/04/12,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/MD_STATEWIDE_2004,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/MD_STATEWIDE_2004
CA_SCRIPPS_APR_2004,-1164,CA_SCRIPPS_APR_2004_Legacy_Data,-11640,2004/04/02,2004/04/02,Other,Other,linear-mode lidar,,"26911","5703",GEOID99,2012/05/11,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/CA_SCRIPPS_APR_2004,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/CA_SCRIPPS-APR_2004
CA_SANFRANBAY_2004,-1158,CA_SANFRANBAY_2004_Legacy_Data,-11580,2004/05/05,2004/05/21,Other,Other,linear-mode lidar,,"26910",Unknown,Unknown,2013/01/22,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/CA_SANFRANBAY_2004,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/CA_SANFRANBAY_2004
NJ_CAMDEN_BURLINGTON_2004,-1484,NJ_CAMDEN_BURLINGTON_2004_Legacy_Data,-14840,2004/06/20,2004/09/21,Other,Other,linear-mode lidar,3,"3424",Unknown,Unknown,2013/01/22,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/NJ_CAMDEN_BURLINGTON_2004,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/NJ_CAMDEN-BURLINGTON_2004
CA_SCRIPPS_SEP_2004,-1173,CA_SCRIPPS_SEP_2004_Legacy_Data,-11730,2004/09/28,2004/09/30,Other,Other,linear-mode lidar,,"26911","5703",GEOID99,2012/05/14,2023/12/11,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/CA_SCRIPPS_SEP_2004,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/CA_SCRIPPS-SEP_2004
CA_SANFRANBAYFEMA_2004,-1159,CA_SANFRANBAYFEMA_2004_Legacy_Data,-11590,2004/11/05,2004/11/21,Other,Other,linear-mode lidar,,"2227","6360",Unknown,2012/05/25,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/CA_SANFRANBAYFEMA_2004,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/CA_SANFRANBAYFEMA_2004
FL_POLKCO_2005_2007,-1229,FL_POLKCO_2005_2007_Legacy_Data,-12290,2005/01/27,2007/02/11,Other,Other,linear-mode lidar,3,"2882","6360",Unknown,2014/06/19,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/FL_POLKCO_2005_2007,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/FL_POLKCO_2005-2007
FL_PEACERIVER_2005,-1227,FL_PEACERIVER_2005_Legacy_Data,-12270,2005/01/27,2006/02/27,Other,Other,linear-mode lidar,3,"2237",Unknown,Unknown,2012/06/21,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/FL_PEACERIVER_2005,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/FL_PEACERIVER_2005
FL_LEONCO_2005,-1210,FL_LEONCO_2005_Legacy_Data,-12100,2005/02/01,2005/02/01,Other,Other,linear-mode lidar,3,"2883",Unknown,Unknown,2013/09/04,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/FL_LEONCO_2005,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/FL_LEONCO_2005
